probe	filter_type	ar_method	period_number	period	amplitude	phase	phi	R_square	R2_adjust	coef_var	pvalue
251789_at	0	yule-walker	1	22.42696629	0.525467148	15.29310371	1.998637712	0.983594748	0.980313697	0.355145615	1.19E-09
263410_at	0	mle	1	22.30167598	0.513536358	1.24972362	-0.352092152	0.971686201	0.966023441	0.381007151	1.82E-08
264442_at	0	mle	1	23.48235294	0.325837818	15.69521378	2.083608848	0.968269295	0.961923154	0.239087419	3.22E-08
254835_s_at	0	mle	1	23.34502924	0.565245099	14.45600178	2.392432503	0.969674132	0.963608959	0.382660093	2.56E-08
257892_at	1	yule-walker	1	22.17777778	0.325726559	13.51394693	2.454549561	0.959039476	0.950847372	0.239814423	1.15E-07
258956_at	0	burg	1	23.62130178	0.931472375	15.11698423	2.262119316	0.960301579	0.952361895	0.603415978	9.86E-08
262826_at	0	mle	2	"26.2631578947,20.2639593909"	"0.355308480491,0.325402380713"	"23.0000525452,7.00213720476"	-2.171131749	0.987966448	0.981949671	0.414724024	1.04E-07
259179_at	0	burg	1	22.81142857	0.696643549	17.11854838	1.568048274	0.953060448	0.943672537	0.537610367	2.28E-07
247025_at	0	burg	1	22.17777778	0.512906154	4.783002957	-1.35507237	0.953480055	0.944176066	0.473120203	2.18E-07
263111_s_at	0	burg	1	23.48235294	0.497491295	16.60855876	1.83922466	0.95497402	0.945968825	0.350370765	1.85E-07
245152_at	0	mle	1	23.07514451	0.453021789	1.23953601	-0.337516172	0.952119544	0.942543452	0.348604462	2.52E-07
251727_at	0	mle	1	22.05524862	0.572426355	1.079337518	-0.307485885	0.956334489	0.947601386	0.418748563	1.59E-07
265182_at	0	mle	1	22.30167598	0.408910391	1.519186359	-0.42800951	0.952291379	0.942749655	0.350194071	2.47E-07
251218_at	0	mle	1	23.34502924	0.745498897	15.85784168	2.015135058	0.959020215	0.950824258	0.510844733	1.16E-07
246523_at	0	mle	1	22.81142857	0.621654007	1.637794252	-0.451114438	0.952538553	0.943046263	0.508406468	2.41E-07
252166_at	1	burg	1	22.17777778	0.541841017	14.05350917	2.301686205	0.958447951	0.950137541	0.361770034	1.24E-07
248537_at	0	mle	1	22.42696629	0.337012777	2.328460222	-0.652346237	0.956632176	0.947958611	0.255972938	1.53E-07
263252_at	0	burg	1	23.76190476	0.824373988	1.537562795	-0.406566395	0.954969712	0.945963655	0.615816597	1.85E-07
247286_at	0	mle	1	23.62130178	0.233330014	15.0680361	2.275139351	0.956384882	0.947661858	0.169544019	1.58E-07
251497_at	0	mle	1	24.04819277	1.018449798	3.311514504	-0.86521509	0.95512654	0.946151848	0.6621748	1.82E-07
256049_at	0	mle	1	22.55367232	0.566268116	0.770623791	-0.214686638	0.957210818	0.948652981	0.429727633	1.43E-07
247232_at	0	yule-walker	2	"25.7548387097,20.0603015075"	"0.335437363253,0.362310429104"	"22.4298835179,7.48788335004"	-2.345316626	0.986226093	0.979339139	0.487938672	1.78E-07
247323_at	0	mle	1	23.62130178	0.781094328	3.990945072	-1.06157771	0.95353676	0.944244112	0.563832265	2.17E-07
266925_at	0	mle	1	24.95	0.32209162	12.99642484	3.010281675	0.955077802	0.946093362	0.250044316	1.83E-07
265892_at	1	yule-walker	1	21.93406593	1.425288887	2.135001051	-0.611587805	0.953463008	0.94415561	0.736016975	2.18E-07
252037_at	0	yule-walker	1	23.90419162	0.485454092	1.308670203	-0.343982241	0.952222234	0.942666681	0.363090988	2.49E-07
260956_at	0	burg	1	23.62130178	0.694371656	4.343219468	-1.155281492	0.951677659	0.94201319	0.486071296	2.63E-07
258993_at	0	burg	1	22.68181818	0.454951956	6.027763894	-1.669776084	0.950027293	0.940032751	0.349691999	3.12E-07
253943_at	0	mle	1	22.30167598	0.575532778	0.742136504	-0.209086581	0.94957135	0.93948562	0.424872802	3.26E-07
254890_at	0	burg	1	22.42696629	0.155396993	14.35325643	2.261947269	0.948523863	0.938228636	0.118392139	3.61E-07
264597_at	0	burg	1	23.76190476	0.645193592	14.33571773	2.492497149	0.948185523	0.937822628	0.432997523	3.73E-07
247848_at	0	mle	1	22.68181818	0.712340721	21.28970574	0.385634889	0.948002656	0.937603187	0.499912502	3.80E-07
267005_at	0	mle	1	22.42696629	0.351223806	1.819658578	-0.509799314	0.948399098	0.938078918	0.290713148	3.66E-07
251221_at	0	mle	1	22.30167598	0.926512999	12.62699168	2.725706995	0.947005771	0.936406925	0.703311084	4.18E-07
248207_at	0	mle	1	22.68181818	0.420142174	0.521370345	-0.14442698	0.946701576	0.936041891	0.362726005	4.30E-07
263739_at	0	mle	1	23.48235294	0.866853686	1.058322521	-0.283175904	0.946724557	0.936069468	0.564793786	4.29E-07
247889_at	0	yule-walker	1	24.19393939	0.214387523	14.82775829	2.432404683	0.945400598	0.934480718	0.165459382	4.85E-07
264436_at	0	mle	1	23.07514451	0.803896195	0.621316688	-0.169179781	0.945567955	0.934681546	0.626055404	4.78E-07
250897_at	0	mle	1	26.43708609	0.146356027	11.35535183	-2.698776238	0.944973888	0.933968665	0.109439655	5.04E-07
261622_at	0	mle	1	21.46236559	0.197408251	18.90656188	0.7482208	0.944503212	0.933403854	0.143649377	5.26E-07
251814_at	1	burg	1	22.55367232	0.407242805	7.263520611	-2.023530596	0.944082857	0.932899428	0.312293334	5.47E-07
262635_at	0	burg	1	23.90419162	0.63372251	1.653550972	-0.434633697	0.943052503	0.931663004	0.53295101	5.99E-07
258188_at	0	mle	1	22.81142857	0.454641206	1.567768078	-0.431826412	0.942811522	0.931373827	0.382923118	6.12E-07
252429_at	0	yule-walker	1	23.48235294	0.754675277	5.464173844	-1.462051818	0.943212266	0.931854719	0.531259278	5.91E-07
246310_at	0	mle	1	22.30167598	0.580850164	3.199016458	-0.901278147	0.941711945	0.930054334	0.487184038	6.73E-07
257253_at	1	yule-walker	1	22.55367232	0.450064064	21.94982145	0.16822568	0.941979869	0.930375843	0.33472459	6.57E-07
262899_at	0	mle	1	22.55367232	0.48142013	13.08551409	2.637716457	0.941812848	0.930175418	0.325711201	6.67E-07
257044_at	0	burg	1	22.81142857	0.278211717	2.52683308	-0.695991504	0.940749989	0.928899986	0.21174029	7.30E-07
258500_at	0	mle	1	21.93406593	0.110221103	5.223733305	-1.496379397	0.940458893	0.928550671	0.082922354	7.48E-07
264207_at	0	yule-walker	1	21.57837838	0.154481373	6.481944805	-1.887410613	0.94013354	0.928160248	0.11633051	7.69E-07
